,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,review/score
topic_0,1.0,0.02875744175435413,0.05176373397707055,0.07452742699722598,0.07112131610693304,-0.14292014672156397,-0.05753093477942263,-0.024133659681407068,-0.12286789755165282,-0.10884261750538406,-0.1104383830827355,-0.07187928505333543,-0.11095713785202964,0.03197413599090722,-0.2183500797414745,-0.20263838996255507,-0.09624969172929795,-0.06204350054530402,-0.029969798888515593,-0.11200796111836943,-0.12889786499554445,-0.18532885767413065,0.035583492688516044,-0.08054181137196534,-0.044147112487063406,0.01598223180795147
topic_1,0.02875744175435413,1.0,-0.0814648141097238,-0.01802513886981301,-0.05283292413686119,-0.023424177835626,0.010218824446923212,-0.00039820036385317863,-0.06545145733899277,0.06105064581141744,-0.0732491102731468,-0.038677161270523605,-0.07847141283716667,0.01874380878936,-0.11504224560585999,-0.024542042018839087,-0.04841222269052529,-0.017095289301297067,0.021659769561364492,-0.08765585742173947,-0.0962183161015614,-0.09560515797304557,-0.02093317572271239,-0.024466802576483794,0.013269490024630851,0.08826127528470176
topic_2,0.05176373397707055,-0.0814648141097238,1.0,0.05414843726432425,0.01971366403876101,-0.14540877075274403,-0.04483922674451772,-0.03897981486196435,-0.07929420190842129,-0.017631938091294427,0.04470411457510721,-0.03252222966657729,0.059870320996410466,0.001143821734305579,-0.13315061785436177,-0.15986381581040654,-0.021502674233660802,-0.021765184677225418,-0.016318448750767413,-0.005331651895913728,-0.0006471302460854921,-0.05638958706142038,0.01700976954199875,-0.14940612830662894,-0.00046318874580294974,0.0043278341039830635
topic_3,0.07452742699722598,-0.01802513886981301,0.05414843726432425,1.0,0.08065310981638107,-0.07680598117361484,-0.02720133808796253,-0.0019158320981572435,-0.05948742180143026,-0.02484641314526263,-0.02228102226013656,-0.01805695411338769,0.015274664603469428,0.021472565384637685,-0.09394768502057094,-0.09755973572049077,-0.025534870899192295,-0.03776373135803451,0.019279621609614928,-0.01993130632616501,-0.04278387710461644,-0.06482849063549909,0.04630299566945664,-0.037104285979006606,0.004987186541675401,0.03213163500673553
topic_4,0.07112131610693304,-0.05283292413686119,0.01971366403876101,0.08065310981638107,1.0,-0.09215083190860228,-0.04275608673914377,0.020318010105244106,-0.0138728344673437,-0.052793310398149725,-0.07693850407866172,-0.007086123247723243,-0.031587342942441636,0.04681330930863496,-0.10942242089417496,-0.12782790636169808,-0.04532784675120222,-0.049605777003153585,-0.0011138485750611935,0.060865414366233786,0.04350417814299763,-0.10288257468496863,0.10399914190846282,-0.08295761017791893,-0.03931250048584737,-0.010496537849079605
topic_5,-0.14292014672156397,-0.023424177835626,-0.14540877075274403,-0.07680598117361484,-0.09215083190860228,1.0,0.009313491311817529,0.04653638934330775,-0.03985267359517884,0.033456093090628795,-0.050509951932026766,0.02508023945286173,-0.1591282365907817,-0.01168494313882315,-0.03342292268045483,-0.05639242403591044,-0.05108007055094403,-0.022361861401162603,-0.016699500661236977,-0.09651954382331179,-0.10173933015141082,-0.08229928710525385,-0.038107690508773974,-0.11701654550521177,-0.13801389018592106,-0.09209940352644257
topic_6,-0.05753093477942263,0.010218824446923212,-0.04483922674451772,-0.02720133808796253,-0.04275608673914377,0.009313491311817529,1.0,-0.0016305203006986009,-0.02557427874143232,0.028256231620225062,-0.02668378446155088,0.062731631691966,-0.05422828700339404,0.0048557052815814,-0.037458772439242345,-0.005816797041319433,-0.030219195294841433,-0.025551658846565097,-0.0005729966665993907,-0.046276097312456445,-0.04854847560094214,-0.05486065656997297,0.003787246301266739,-0.011683891632666569,-0.033457047635852964,0.0259201948285286
topic_7,-0.024133659681407068,-0.00039820036385317863,-0.03897981486196435,-0.0019158320981572435,0.020318010105244106,0.04653638934330775,-0.0016305203006986009,1.0,-0.030765800741022198,0.03134049545268503,-0.06915022177684342,-0.00713548441117759,-0.08417907379360105,0.03492092013134574,-0.04023606909941454,-0.04527986566651371,-0.05551426174879234,-0.03670279177813393,0.02838094482907826,0.0026525885755128206,-0.05633385745075837,-0.08739451500119977,0.04728517191505997,-0.02239714524136581,-0.03470010460913638,0.0012607420994639447
topic_8,-0.12286789755165282,-0.06545145733899277,-0.07929420190842129,-0.05948742180143026,-0.0138728344673437,-0.03985267359517884,-0.02557427874143232,-0.030765800741022198,1.0,-0.06593005101245787,-0.08147504046623845,0.019910201782219958,0.002296284278405899,-0.029441506404695866,0.08279498437866645,0.05886131807605528,-0.049140107367210854,-0.04734778891465847,-0.03267854187125567,-0.057537922040463804,0.09989308065942558,0.04485612535371045,-0.004604806059427484,-0.06234542734279416,-0.06307563096410189,0.014701874052369668
topic_9,-0.10884261750538406,0.06105064581141744,-0.017631938091294427,-0.02484641314526263,-0.052793310398149725,0.033456093090628795,0.028256231620225062,0.03134049545268503,-0.06593005101245787,1.0,-0.030244670660911667,0.03533489479458853,-0.09579538604178194,0.021373576252400855,-0.00169945710891846,-0.0020824863347378244,-0.06388168715956473,-0.028443646733631357,0.06312307350227579,0.00698120702390813,-0.08381889912527517,-0.06115647867357199,0.000960111330982469,-0.08266382223886502,-0.08020326455625594,0.008831395813423659
topic_10,-0.1104383830827355,-0.0732491102731468,0.04470411457510721,-0.02228102226013656,-0.07693850407866172,-0.050509951932026766,-0.02668378446155088,-0.06915022177684342,-0.08147504046623845,-0.030244670660911667,1.0,-0.023829068301066528,0.012213463902216904,-0.020210098815403643,-0.05119308321083,-0.08132347664464479,0.07854865372997115,0.0205222850769066,-0.028877243554401598,-0.012518484589857003,-0.007619089504388495,0.054008524142107786,-0.03252146734403277,-0.11178608077126843,-0.05762260791093021,0.0013718357341225436
