,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10
topic_0,story,character,novel,read,find,love,good,well,end,plot
topic_1,child,old,parent,young,family,kid,love,year,school,adult
topic_2,work,write,reader,style,writer,well,even,seem,make,much
topic_3,world,earth,science,human,magic,fiction,fantasy,space,adventure,planet
topic_4,man,death,war,take,kill,force,die,fight,case,year
topic_5,buy,copy,find,good,year,information,great,print,purchase,price
topic_6,recipe,food,eat,chinese,make,cookbook,cook,fish,use,ingredient
topic_7,city,travel,guide,place,visit,map,town,car,home,trip
topic_8,business,company,work,health,service,management,money,market,industry,medical
topic_9,black,picture,art,photo,page,color,photograph,white,show,illustration
topic_10,work,volume,essay,collection,write,text,poem,include,first,translation
topic_11,error,window,oil,machine,glass,cut,star,fool,stone,file
topic_12,human,woman,man,way,people,life,think,self,world,view
topic_13,horse,tree,irish,gold,mile,ride,nazi,chocolate,train,canadian
topic_14,chapter,use,information,cover,example,section,author,reference,include,also
topic_15,use,help,learn,student,easy,great,recommend,well,teach,find
topic_16,church,faith,jewish,religion,christian,religious,biblical,bible,prayer,spiritual
topic_17,language,word,music,film,play,english,song,movie,spanish,speak
topic_18,game,play,animal,player,plant,bird,sport,team,season,garden
topic_19,history,war,well,historical,great,time,also,write,century,many
topic_20,political,state,law,government,social,right,economic,power,public,make
topic_21,study,author,read,research,theory,work,well,student,subject,write
topic_22,land,mountain,native,prison,farm,winter,thriller,uncle,tribe,railroad
topic_23,read,get,good,think,make,go,know,really,say,time
topic_24,life,read,love,live,time,story,write,year,many,people
