topic,word,frequency
0,story,0.05471725
0,character,0.028043453
0,novel,0.021065086
0,read,0.018933987
0,find,0.012062354
0,love,0.011745426
0,good,0.01048502
0,well,0.009457761
0,end,0.0093074795
0,plot,0.008702292
0,first,0.008615084
0,series,0.008470612
0,woman,0.0076520992
0,time,0.0071179676
0,get,0.007085379
0,make,0.0066880663
0,reader,0.0066025313
0,mystery,0.0064221527
0,enjoy,0.0062470227
0,write,0.006105401
0,tale,0.00596404
0,man,0.005910801
0,great,0.0053728768
0,keep,0.0053115175
0,young,0.0052691456
0,come,0.0052411575
0,romance,0.0052281576
0,also,0.005191207
0,set,0.0049748085
0,old,0.0049308743
1,child,0.09908114
1,old,0.036102004
1,parent,0.029563347
1,young,0.029442074
1,family,0.029084686
1,kid,0.028699849
1,love,0.02567791
1,year,0.023905676
1,school,0.018584307
1,adult,0.017844029
1,age,0.017840197
1,little,0.017675657
1,daughter,0.016441496
1,mother,0.016018108
1,boy,0.014691599
1,girl,0.014199953
1,baby,0.012400521
1,fun,0.01086278
1,home,0.010052216
1,illustration,0.009623288
1,painting,0.0093905935
1,wonderful,0.008474085
1,enjoy,0.008469402
1,photography,0.008058925
1,grow,0.0074954843
1,friend,0.0071073784
1,picture,0.0068975394
1,great,0.0066747526
1,cat,0.006445553
1,mom,0.006176065
2,work,0.015081604
2,write,0.009665968
2,reader,0.008984138
2,style,0.006862501
2,writer,0.0068282248
2,well,0.0067414925
2,even,0.0066315564
2,seem,0.0063556335
2,make,0.0063207345
2,much,0.006231592
2,author,0.005449555
2,artist,0.0053774584
2,often,0.005355075
2,perhaps,0.0047932165
2,narrative,0.004653492
2,almost,0.0044343905
2,rather,0.0043716575
2,quot,0.0043625757
2,many,0.0039894134
2,sense,0.0039554895
2,early,0.0038320734
2,art,0.0038070213
2,yet,0.0037208009
2,quite,0.0034264443
2,time,0.0033752255
2,less,0.0033579567
2,far,0.0032418696
2,sometimes,0.0031806524
2,writing,0.0031341726
2,never,0.0030894068
3,world,0.032571774
3,earth,0.016071416
3,science,0.015547481
3,human,0.013543903
3,magic,0.012674632
3,fiction,0.012247182
3,fantasy,0.011894035
3,space,0.011630125
3,adventure,0.011395282
3,planet,0.011002644
3,dream,0.010956754
3,power,0.010821551
3,new,0.010344926
3,tale,0.010079349
3,king,0.009213518
3,sea,0.00802015
3,ghost,0.006919032
3,horror,0.006898459
3,dark,0.006877883
3,universe,0.0067825774
3,scientist,0.006629272
3,story,0.006578376
3,evil,0.006522722
3,alien,0.0064888448
3,myth,0.006444554
3,ancient,0.006226163
3,legend,0.0061675264
3,strange,0.006021663
3,future,0.0058460645
3,magical,0.00570305
4,man,0.020370973
4,death,0.010012426
4,war,0.0098406235
4,take,0.008961041
4,kill,0.007876976
4,force,0.0073388093
4,die,0.0071482332
4,fight,0.0069406955
4,case,0.0068737115
4,year,0.0068602986
4,ship,0.005970075
4,day,0.0059284423
4,battle,0.005913551
4,leave,0.0055184537
4,crime,0.005392459
4,become,0.0053863344
4,murder,0.0053714155
4,go,0.0052042645
4,attack,0.005022518
4,officer,0.0049484405
4,later,0.0048846337
4,tell,0.004714706
4,call,0.0046850108
4,know,0.0046736915
4,police,0.004611762
4,fire,0.00437649
4,begin,0.004375212
4,run,0.0043013506
4,action,0.004218841
4,first,0.004063494
5,buy,0.026022727
5,copy,0.023557616
5,find,0.020972801
5,good,0.018101307
5,year,0.017337393
5,information,0.014046396
5,great,0.013551097
5,print,0.012810183
5,purchase,0.012733193
5,price,0.012478266
5,use,0.0123768225
5,edition,0.012368043
5,new,0.012059389
5,get,0.011857661
5,well,0.011178066
5,version,0.009953499
5,page,0.009805815
5,worth,0.009355714
5,publish,0.009263621
5,look,0.0092280265
5,time,0.008841755
5,read,0.008710602
5,library,0.008591234
5,cover,0.008500603
5,still,0.008493227
5,list,0.008012737
5,order,0.00789905
5,old,0.0077976505
5,much,0.007631289
5,available,0.007191069
6,recipe,0.060804915
6,food,0.04638872
6,eat,0.028760677
6,chinese,0.025974562
6,make,0.023876673
6,cookbook,0.018158846
6,cook,0.017865442
6,fish,0.014129568
6,use,0.012979352
6,ingredient,0.012056889
6,water,0.011445534
6,easy,0.011201668
6,weight,0.010531601
6,try,0.010159998
6,bread,0.009402669
6,italian,0.00938319
6,meal,0.009072224
6,kitchen,0.009042309
6,dish,0.008831187
6,many,0.008356179
6,cooking,0.008278858
6,good,0.008166508
6,taste,0.007958584
6,meditation,0.00794248
6,brown,0.007913946
6,fat,0.0076024076
6,cake,0.007453042
6,find,0.007393668
6,drink,0.007167978
6,include,0.00703079
7,city,0.029287482
7,travel,0.026498223
7,guide,0.021909755
7,place,0.020587623
7,visit,0.019634185
7,map,0.01797265
7,town,0.017546609
7,car,0.017265957
7,home,0.017073499
7,trip,0.016526395
7,area,0.0149428295
7,small,0.014367327
7,house,0.011249392
7,trail,0.011063756
7,go,0.01099701
7,local,0.010615306
7,country,0.010528712
7,live,0.009918046
7,road,0.009701778
7,arrive,0.009452971
7,island,0.009333163
7,take,0.009238901
7,day,0.009040929
7,find,0.008227376
7,rock,0.008004072
7,site,0.007983927
7,plan,0.007978279
7,location,0.0076140184
7,building,0.007440084
7,description,0.0069371057
8,business,0.025343796
8,company,0.013985154
8,work,0.012636255
8,health,0.010962075
8,service,0.009593643
8,management,0.009039185
8,money,0.0089249695
8,market,0.008637646
8,industry,0.008555622
8,medical,0.008228025
8,care,0.007899162
8,change,0.007831397
8,need,0.0072397115
8,new,0.0071951286
8,strategy,0.007175077
8,process,0.006969731
8,doctor,0.006850715
8,drug,0.0067161545
8,patient,0.0066417954
8,success,0.0065909554
8,organization,0.006508478
8,security,0.0062844474
8,provide,0.006265333
8,system,0.006145235
8,financial,0.0059347018
8,people,0.005719044
8,job,0.0056563457
8,technology,0.005586402
8,disease,0.005568635
8,manager,0.0054353527
9,black,0.0360255
9,picture,0.034619182
9,art,0.033311833
9,photo,0.032490272
9,page,0.03189301
9,color,0.029627446
9,photograph,0.02403107
9,white,0.022388168
9,show,0.018130384
9,illustration,0.01753632
9,look,0.016553555
9,dog,0.015964534
9,include,0.014819736
9,image,0.014784461
9,design,0.014641494
9,see,0.014134765
9,cover,0.013109829
9,beautiful,0.013085058
9,drawing,0.011055567
9,text,0.010793955
9,many,0.010462396
9,make,0.009801402
9,full,0.008589657
9,paint,0.008424785
9,illustrate,0.008343242
9,also,0.00810879
9,small,0.007353151
9,collection,0.0073434752
9,great,0.006771076
9,pattern,0.006626296
10,work,0.027388407
10,volume,0.024581827
10,essay,0.015477309
10,collection,0.015045783
10,write,0.014114496
10,text,0.013751654
10,poem,0.01255238
10,include,0.011891664
10,first,0.011420278
10,translation,0.011225418
10,introduction,0.009802286
10,also,0.00950231
10,publish,0.009500326
10,poetry,0.009435186
10,commentary,0.0090350825
10,original,0.008582633
10,letter,0.008235296
10,note,0.0076662037
10,short,0.0076272995
10,writing,0.00745698
10,writer,0.007327677
10,century,0.0071295686
10,modern,0.0070703267
10,poet,0.006921124
10,many,0.0066313595
10,reader,0.006544698
10,greek,0.006513684
10,page,0.006489814
10,edition,0.006430212
10,great,0.0063543865
11,error,0.03475975
11,window,0.017519483
11,oil,0.01313383
11,machine,0.011668099
11,glass,0.009946369
11,cut,0.009732664
11,star,0.009152911
11,fool,0.008671758
11,stone,0.008562205
11,file,0.008018215
11,procedure,0.007881472
11,biology,0.0077199102
11,object,0.007546493
11,tv,0.0074717673
11,television,0.007191238
11,block,0.007178864
11,column,0.007116612
11,production,0.0070727267
11,editor,0.0068340884
11,replace,0.006821645
11,correct,0.0065935124
11,brand,0.0064545237
11,show,0.006396432
11,log,0.00638327
11,architecture,0.0061290944
11,expensive,0.0060431664
11,cell,0.0058202455
11,edit,0.005818949
11,newspaper,0.005802915
11,grammatical,0.0057770927
12,human,0.011055966
12,woman,0.010771086
12,man,0.009692318
12,way,0.009548339
12,people,0.007745968
12,life,0.0072583165
12,think,0.0069355103
12,self,0.006764884
12,world,0.006671604
12,view,0.0063679907
12,culture,0.0058448557
12,idea,0.0057266075
12,relationship,0.005611279
12,nature,0.00557024
12,also,0.005515247
12,understand,0.005490212
12,mean,0.0052594994
12,point,0.005122396
12,mind,0.0049755634
12,see,0.004776002
12,society,0.0046502715
12,experience,0.004573732
12,make,0.004385463
12,become,0.004363487
12,change,0.004171699
12,form,0.00408805
12,different,0.004017427
12,say,0.003972854
12,question,0.003919989
12,philosophy,0.0037840076
13,horse,0.037915237
13,tree,0.027364243
13,irish,0.020542242
13,gold,0.018555494
13,mile,0.017208425
13,ride,0.017086344
13,nazi,0.013601078
13,chocolate,0.012678021
13,train,0.012186237
13,canadian,0.0107150655
13,dust,0.0100766
13,russian,0.009795512
13,guard,0.009515998
13,imperial,0.00928529
13,blessing,0.00916684
13,jacket,0.008968471
13,bell,0.008929291
13,wave,0.00884229
13,australian,0.008392006
13,bitter,0.0083873
13,emperor,0.008101501
13,billy,0.0080118785
